fuel;5y_08_avg;5y_13_avg;5y_18_avg;5y_23_avg;last_year_avg;min_p;min_p_d;max_p;max_p_d;avg_tax;avg_it;avg_it23;max_it;min_it;nation
Benzina;1,222;1,493;1,577;1,63;1,81;1,032;01/06/2003;2,033;01/06/2022;0,906;0,61;0,57;0,71;0,41;ita
Diesel;1,085;1,385;1,449;1,544;1,816;0,845;01/06/2003;1,972;01/06/2022;0,761;0,55;0,52;0,69;0,36;ita
