fuel;5y_08_avg;5y_13_avg;5y_18_avg;5y_23_avg;last_year_avg;min_p;min_p_d;max_p;max_p_d;avg_tax;avg_it;avg_it23;max_it;min_it;nation
Benzina;1,274;1,425;1,457;1,541;1,853;0,932;01/12/2008 00:00;2,255;01/07/2022 00:00;0,906;0,64;0,52;0,77;0,44;gbr
Diesel;1,32;1,494;1,505;1,633;2,047;1,069;01/12/2008 00:00;2,355;01/07/2022 00:00;0,916;0,62;0,48;0,76;0,43;gbr
